ds,yhat,yhat_lower,yhat_upper
2024-05-01 00:00:00,0.01986121032379499,0.01801769426286914,0.021908655601138444
2024-05-01 01:00:00,0.01984883167431721,0.017803464742456858,0.021649565937673598
2024-05-01 02:00:00,0.019870258481256675,0.01794109417360895,0.02172799482520921
2024-05-01 03:00:00,0.019943984801940456,0.01813913241450118,0.02182121955800538
2024-05-01 04:00:00,0.020013548402883646,0.018106098246782457,0.021962348950232895
2024-05-01 05:00:00,0.019997394304367585,0.017951560679178347,0.021844511061796395
2024-05-01 06:00:00,0.019878644851819734,0.01793067509134831,0.021746634965194665
2024-05-01 07:00:00,0.019739048431779344,0.01789089319476359,0.021587642386206987
2024-05-01 08:00:00,0.019693192032864206,0.01782595696369366,0.021527815881928175
2024-05-01 09:00:00,0.019780628260576368,0.017882031021433896,0.021593255864067882
2024-05-01 10:00:00,0.019921917963056684,0.01811996926112606,0.021755945749267848
2024-05-01 11:00:00,0.019987464795079513,0.018087559819562605,0.021797283071667107
2024-05-01 12:00:00,0.01991848006432541,0.018007380432552223,0.02175657517950105
2024-05-01 13:00:00,0.019785190969985354,0.018017971326853635,0.021687686027626094
2024-05-01 14:00:00,0.019724193266143424,0.017875583212314767,0.021480531153892778
2024-05-01 15:00:00,0.019811694559074836,0.017778341754544874,0.021676993106289667
2024-05-01 16:00:00,0.01999130580710376,0.01809561387452031,0.022002900863780886
2024-05-01 17:00:00,0.02012363362555692,0.018284795988823044,0.02193767846571675
2024-05-01 18:00:00,0.020109852466080214,0.018199840835236656,0.022033860975534423
2024-05-01 19:00:00,0.01997372995308441,0.018156956545194017,0.021815844369738723
2024-05-01 20:00:00,0.019830019070201894,0.018022693412861533,0.021692852030500403
2024-05-01 21:00:00,0.019776826759870123,0.017984488477892795,0.02162614763526516
2024-05-01 22:00:00,0.019817790633833304,0.01797043817199846,0.021671148821648997
2024-05-01 23:00:00,0.019882743475037278,0.018153577847526782,0.021859784053916816
2024-05-02 00:00:00,0.0199143819397241,0.018061048121462104,0.02176232019629229
2024-05-02 01:00:00,0.019926101761380037,0.018044186557904483,0.02180756261105723
2024-05-02 02:00:00,0.019973079125847115,0.017979722653561576,0.02173278388144815
2024-05-02 03:00:00,0.020073550655079955,0.018151012697194175,0.02191499293170359
2024-05-02 04:00:00,0.020170780831543417,0.01825076564114396,0.02194469840975969
2024-05-02 05:00:00,0.02018292871272651,0.018257779033875786,0.0220801565769599
2024-05-02 06:00:00,0.020092821336314952,0.018182349268676384,0.022060847056178664
2024-05-02 07:00:00,0.019981905893156963,0.018049853256203258,0.02184174235963735
2024-05-02 08:00:00,0.019964465826422858,0.018144663669536095,0.021852860439029873
2024-05-02 09:00:00,0.020079751422440027,0.018128435836006176,0.021952327726233407
2024-05-02 10:00:00,0.020248026006671322,0.018478613365582916,0.022120594705599367
2024-05-02 11:00:00,0.0203394040283969,0.01843804355476429,0.02230432017965763
2024-05-02 12:00:00,0.020294819334984764,0.01826954425352165,0.02221831980314001
2024-05-02 13:00:00,0.02018423670377498,0.018171097737135808,0.022112073300748252
2024-05-02 14:00:00,0.02014400762355706,0.018234955538844546,0.02197840401041373
2024-05-02 15:00:00,0.020250116496644894,0.01852379256932611,0.022159828466334307
2024-05-02 16:00:00,0.0204459747942695,0.018620908858791224,0.022266362263440715
2024-05-02 17:00:00,0.020592015735414634,0.01872574055394901,0.022641448477364278
2024-05-02 18:00:00,0.0205892685290853,0.018603179254063216,0.02237587607846684
2024-05-02 19:00:00,0.020461385437343677,0.01857465940886572,0.022227927114959176
2024-05-02 20:00:00,0.020323035330933478,0.018381776203848104,0.022340297460978913
2024-05-02 21:00:00,0.020272273283600466,0.01834310724400133,0.022267869102150978
2024-05-02 22:00:00,0.020312717890880107,0.018574999829768887,0.022201161188146735
2024-05-02 23:00:00,0.020374215987515244,0.01836197333575686,0.022234265790191176
2024-05-03 00:00:00,0.02039951116290788,0.018514278106202556,0.022243228881775778
2024-05-03 01:00:00,0.020402078392456516,0.01839981230198993,0.022207111134591454
2024-05-03 02:00:00,0.020437204447243812,0.018425079107445872,0.022461206434937632
2024-05-03 03:00:00,0.02052326653837563,0.01867277783601926,0.0223351995567379
2024-05-03 04:00:00,0.020603698043231276,0.018701285288612774,0.02248379112416726
2024-05-03 05:00:00,0.020596853183889173,0.018560578496545514,0.02239722745871233
2024-05-03 06:00:00,0.020485778083471618,0.01844293709185376,0.02246047411401208
2024-05-03 07:00:00,0.02035216030636167,0.018391110292086253,0.022164171792048094
2024-05-03 08:00:00,0.020310542073247215,0.018366677016045583,0.02214696908499997
2024-05-03 09:00:00,0.020400447751775765,0.018406134097863937,0.022314241766042284
2024-05-03 10:00:00,0.02054242677455036,0.018708847423597,0.022367964590999143
2024-05-03 11:00:00,0.020606888308247685,0.018796202384659552,0.022421262901788693
2024-05-03 12:00:00,0.020535066016627666,0.018674478350287117,0.02251317267818755
2024-05-03 13:00:00,0.020397226028702902,0.0185363021676713,0.022325994138436337
2024-05-03 14:00:00,0.020330019147497203,0.018405670232571912,0.02219043930839964
2024-05-03 15:00:00,0.02040972351427004,0.01865138787882137,0.02233332004291045
2024-05-03 16:00:00,0.02058003530420759,0.018571899817700774,0.022625117722309483
2024-05-03 17:00:00,0.020701660065809414,0.0186640276934485,0.022692703039527477
2024-05-03 18:00:00,0.02067588378469252,0.018653706059957167,0.02247503178826861
2024-05-03 19:00:00,0.020526596967880194,0.018652699642595295,0.02245019716773801
2024-05-03 20:00:00,0.02036868545632139,0.01847505211604483,0.0222638574479624
